EDA Summary
==========
Rows: 10000
Columns: 12

                   Column  Count      Mean  Median       Std  Min     Max
                StudentID  10000 5000.5000  5000.5 2886.8957  1.0 10000.0
                     CGPA  10000    7.6980     7.7    0.6401  6.5     9.1
              Internships  10000    1.0492     1.0    0.6659  0.0     2.0
                 Projects  10000    2.0266     2.0    0.8680  0.0     3.0
 Workshops/Certifications  10000    1.0132     1.0    0.9043  0.0     3.0
        AptitudeTestScore  10000   79.4499    80.0    8.1600 60.0    90.0
         SoftSkillsRating  10000    4.3240     4.4    0.4116  3.0     4.8
ExtracurricularActivities  10000    0.5854     1.0    0.4927  0.0     1.0
        PlacementTraining  10000    0.7318     1.0    0.4430  0.0     1.0
                SSC_Marks  10000   69.1594    70.0   10.4305 55.0    90.0
                HSC_Marks  10000   74.5015    73.0    8.9195 57.0    88.0
          PlacementStatus  10000    0.4197     0.0    0.4935  0.0     1.0
