StudentID,CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,PlacementStatus
50025.0,77.0,10.0,20.0,10.0,800.0,44.0,yes,yes,700.0,730.0,placed
8200.0,7.6,1.0,1.0,1.0,71.0,4.2,no,no,64.0,71.0,notplaced
1596.0,7.4,2.0,3.0,3.0,86.0,4.2,yes,yes,60.0,75.0,notplaced
7206.0,7.4,1.0,3.0,2.0,74.0,4.1,yes,yes,79.0,81.0,placed
9889.0,7.8,1.0,2.0,0.0,73.0,3.5,no,yes,63.0,67.0,notplaced
5324.0,8.7,1.0,3.0,3.0,89.0,4.8,yes,yes,74.0,83.0,notplaced
9517.0,8.1,2.0,3.0,1.0,85.0,4.8,yes,yes,71.0,85.0,placed
7850.0,8.0,1.0,3.0,0.0,82.0,3.8,nan,nan,55.0,66.0,nan
4659.0,8.3,1.0,3.0,2.0,90.0,4.8,yes,yes,83.0,88.0,placed
8934.0,7.2,1.0,1.0,0.0,73.0,3.8,no,no,59.0,65.0,notplaced
1572.0,8.9,2.0,3.0,2.0,90.0,4.8,yes,yes,72.0,86.0,placed
4822.0,8.4,2.0,3.0,2.0,90.0,4.6,yes,yes,69.0,82.0,placed
6808.0,7.7,1.0,1.0,1.0,74.0,4.5,yes,yes,72.0,88.0,placed
5063.5,7.7,1.0,2.0,1.0,80.0,4.4,yes,yes,71.0,73.0,placed
2065.0,7.5,2.0,2.0,1.0,75.0,4.2,yes,yes,65.0,86.0,notplaced
3692.0,8.6,2.0,3.0,2.0,84.0,4.8,yes,yes,72.0,86.0,placed
489.0,6.6,1.0,3.0,0.0,70.0,4.1,yes,no,78.0,63.0,placed
7137.0,8.8,2.0,2.0,0.0,83.0,4.4,yes,yes,68.0,84.0,notplaced
5025.0,6.6,1.0,1.0,1.0,77.0,4.0,no,no,57.0,66.0,notplaced
9512.0,8.2,1.0,3.0,1.0,83.0,4.8,yes,yes,80.0,74.0,placed
3313.0,8.5,1.0,3.0,2.0,90.0,4.3,yes,yes,72.0,87.0,placed
6599.0,7.9,1.0,1.0,0.0,81.0,4.2,no,yes,72.0,69.0,notplaced
8401.0,8.2,1.0,3.0,0.0,82.0,4.7,yes,yes,78.0,85.0,placed
946.0,7.7,0.0,1.0,0.0,67.0,3.5,no,no,55.0,61.0,notplaced
3018.0,8.1,2.0,2.0,2.0,90.0,4.6,nan,nan,88.0,79.0,nan
771.0,7.6,2.0,3.0,2.0,84.0,4.6,yes,yes,72.0,85.0,placed
5528.0,7.7,1.0,1.0,0.0,78.0,4.4,no,yes,82.0,81.0,notplaced
6699.0,8.2,2.0,3.0,2.0,90.0,4.7,yes,yes,78.0,84.0,placed
7675.0,7.7,1.0,3.0,2.0,88.0,4.5,yes,yes,79.0,70.0,notplaced
1067.0,6.5,0.0,1.0,1.0,82.0,4.5,no,no,55.0,71.0,notplaced
7989.0,8.7,2.0,2.0,2.0,90.0,4.8,yes,yes,74.0,84.0,placed
6418.0,8.3,1.0,3.0,1.0,88.0,4.8,yes,yes,79.0,86.0,placed
1633.0,6.5,1.0,2.0,0.0,82.0,4.1,yes,yes,70.0,66.0,notplaced
276.0,6.5,2.0,2.0,2.0,79.0,4.5,nan,nan,83.0,87.0,nan
10.0,7.8,1.0,3.0,2.0,79.0,4.4,yes,yes,85.0,86.0,placed
8768.0,6.5,0.0,3.0,0.0,77.0,4.2,nan,nan,78.0,61.0,nan
452.0,8.6,0.0,2.0,1.0,90.0,4.6,yes,yes,56.0,87.0,placed
2848.0,8.4,1.0,3.0,0.0,81.0,4.8,yes,yes,85.0,88.0,placed
5063.5,7.7,1.0,2.0,1.0,80.0,4.4,yes,no,71.0,73.0,placed
5981.0,6.5,1.0,1.0,1.0,72.0,4.2,no,no,55.0,57.0,notplaced
4163.0,6.7,1.0,2.0,0.0,68.0,4.6,no,yes,55.0,77.0,notplaced
4855.0,7.4,1.0,1.0,1.0,80.0,3.6,nan,nan,78.0,74.0,nan
144.0,7.8,2.0,3.0,0.0,77.0,4.8,yes,yes,79.0,87.0,notplaced
7396.0,7.1,1.0,3.0,1.0,77.0,4.2,yes,yes,62.0,60.0,notplaced
7996.0,6.5,0.0,1.0,0.0,80.0,3.9,no,yes,75.0,69.0,notplaced
2207.0,8.0,2.0,3.0,3.0,90.0,4.6,yes,yes,84.0,81.0,placed
3027.0,6.5,0.0,1.0,0.0,80.0,4.3,no,no,61.0,60.0,notplaced
5123.0,7.8,0.0,2.0,0.0,79.0,4.5,yes,no,80.0,81.0,notplaced
9734.0,7.0,1.0,1.0,1.0,72.0,3.8,no,no,55.0,68.0,notplaced
5451.0,8.7,1.0,2.0,0.0,80.0,4.5,yes,yes,55.0,64.0,placed
5063.5,7.7,1.0,2.0,1.0,80.0,4.4,no,no,71.0,73.0,notplaced
1803.0,8.7,2.0,3.0,2.0,88.0,4.8,yes,yes,79.0,83.0,notplaced
4245.0,8.4,2.0,3.0,2.0,90.0,4.8,yes,yes,74.0,85.0,placed
6187.0,8.3,1.0,2.0,1.0,72.0,4.7,no,yes,55.0,71.0,notplaced
2567.0,7.5,1.0,1.0,0.0,68.0,4.8,no,yes,63.0,69.0,notplaced
1575.0,7.5,2.0,3.0,2.0,79.0,4.1,yes,yes,75.0,70.0,placed
1103.0,8.1,0.0,2.0,3.0,71.0,4.2,yes,no,82.0,74.0,notplaced
4042.0,7.9,2.0,1.0,0.0,71.0,4.7,no,yes,77.0,86.0,notplaced
9252.0,6.5,1.0,2.0,1.0,79.0,4.2,yes,yes,81.0,64.0,placed
1910.0,6.5,1.0,2.0,1.0,76.0,4.4,yes,yes,71.0,73.0,placed
6759.0,7.8,0.0,3.0,1.0,90.0,4.7,no,no,75.0,74.0,placed
2530.0,8.3,0.0,3.0,0.0,90.0,4.8,nan,nan,74.0,85.0,nan
6640.0,7.5,1.0,2.0,0.0,65.0,4.4,no,no,55.0,62.0,notplaced
9654.0,8.5,1.0,0.0,2.0,70.0,4.2,yes,no,63.0,67.0,notplaced
5762.0,8.2,1.0,2.0,0.0,67.0,4.1,no,yes,56.0,78.0,notplaced
2725.0,7.4,1.0,1.0,2.0,84.0,4.7,yes,yes,80.0,75.0,placed
457.0,7.4,1.0,3.0,0.0,76.0,4.4,yes,yes,58.0,71.0,notplaced
5745.0,8.4,2.0,3.0,2.0,90.0,4.8,yes,yes,85.0,88.0,placed
7473.0,6.5,2.0,1.0,0.0,78.0,4.4,no,yes,75.0,65.0,notplaced
2897.0,7.5,0.0,1.0,0.0,72.0,4.1,no,no,55.0,69.0,notplaced
8450.0,8.4,2.0,3.0,3.0,89.0,4.6,yes,yes,77.0,85.0,placed
5725.0,8.6,2.0,3.0,2.0,90.0,4.8,yes,yes,85.0,82.0,placed
9738.0,7.0,0.0,2.0,1.0,64.0,4.1,yes,yes,77.0,65.0,placed
3764.0,7.7,2.0,2.0,0.0,80.0,4.0,no,no,55.0,65.0,notplaced
5063.5,7.7,1.0,2.0,1.0,80.0,4.4,no,no,71.0,73.0,placed
6724.0,7.3,1.0,2.0,0.0,80.0,4.1,no,yes,55.0,69.0,notplaced
1675.0,6.6,1.0,2.0,1.0,70.0,4.6,yes,yes,76.0,84.0,notplaced
588.0,8.0,0.0,0.0,2.0,76.0,4.8,yes,no,62.0,64.0,placed
936.0,6.5,0.0,1.0,0.0,75.0,4.1,no,yes,83.0,67.0,notplaced
2721.0,7.5,1.0,1.0,0.0,69.0,4.3,no,no,60.0,71.0,notplaced
1362.0,8.8,0.0,2.0,1.0,73.0,4.8,yes,no,81.0,83.0,notplaced
2970.0,7.8,2.0,3.0,2.0,90.0,4.8,yes,yes,88.0,80.0,placed
50025.0,77.0,10.0,20.0,10.0,800.0,44.0,no,yes,700.0,730.0,notplaced
5522.0,8.2,0.0,1.0,0.0,88.0,4.0,nan,nan,76.0,60.0,nan
683.0,7.1,0.0,2.0,2.0,76.0,4.2,no,no,63.0,64.0,notplaced
1513.0,8.6,0.0,3.0,1.0,77.0,4.8,yes,yes,82.0,83.0,notplaced
1215.0,7.7,1.0,2.0,0.0,73.0,4.3,no,yes,55.0,70.0,notplaced
3948.0,8.0,2.0,3.0,2.0,90.0,4.3,yes,yes,75.0,82.0,placed
6132.0,8.7,1.0,3.0,1.0,90.0,4.0,yes,yes,81.0,80.0,placed
434.0,8.1,2.0,3.0,2.0,85.0,4.5,yes,yes,76.0,88.0,placed
800.0,8.3,2.0,3.0,2.0,90.0,4.8,yes,yes,77.0,85.0,placed
6367.0,7.3,0.0,1.0,0.0,85.0,4.2,no,yes,73.0,68.0,notplaced
7453.0,8.0,1.0,2.0,1.0,82.0,4.8,yes,yes,79.0,80.0,placed
5063.5,7.7,1.0,2.0,1.0,80.0,4.4,nan,nan,71.0,73.0,nan
1984.0,8.3,1.0,1.0,0.0,81.0,4.7,no,no,75.0,69.0,notplaced
3855.0,8.4,1.0,2.0,0.0,90.0,4.7,yes,yes,55.0,81.0,notplaced
50025.0,77.0,10.0,20.0,10.0,800.0,44.0,no,no,700.0,730.0,notplaced
4146.0,7.6,1.0,3.0,1.0,77.0,4.6,yes,yes,73.0,79.0,notplaced
6453.0,6.5,0.0,1.0,1.0,80.0,3.7,no,yes,67.0,68.0,placed
1132.0,8.6,2.0,3.0,2.0,90.0,4.8,yes,yes,73.0,80.0,placed
2396.0,7.0,0.0,3.0,1.0,67.0,3.6,yes,yes,57.0,82.0,notplaced
409.0,8.6,1.0,3.0,2.0,83.0,4.4,yes,yes,71.0,83.0,placed
5063.5,7.7,1.0,2.0,1.0,80.0,4.4,no,yes,71.0,73.0,notplaced
184.0,7.7,1.0,1.0,0.0,71.0,4.7,no,yes,57.0,69.0,notplaced
9850.0,6.8,2.0,2.0,2.0,80.0,4.5,yes,yes,72.0,82.0,placed
6748.0,7.8,1.0,3.0,2.0,77.0,4.7,yes,yes,83.0,77.0,placed
6231.0,7.6,1.0,1.0,1.0,65.0,3.5,no,no,55.0,58.0,notplaced
9658.0,8.2,1.0,3.0,1.0,85.0,4.4,nan,nan,83.0,69.0,nan
3814.0,7.4,0.0,1.0,0.0,74.0,4.2,no,no,59.0,76.0,notplaced
1281.0,8.2,1.0,1.0,1.0,80.0,4.3,no,no,75.0,64.0,notplaced
3699.0,7.3,1.0,1.0,0.0,76.0,4.3,no,no,55.0,66.0,notplaced
1676.0,7.5,1.0,2.0,1.0,74.0,4.7,no,yes,55.0,60.0,placed
5911.0,6.7,1.0,1.0,1.0,66.0,3.5,yes,no,86.0,69.0,notplaced
9579.0,8.6,1.0,3.0,2.0,88.0,4.8,yes,yes,70.0,83.0,placed
7695.0,7.4,1.0,1.0,1.0,80.0,4.2,yes,yes,75.0,65.0,placed
5591.0,7.5,1.0,1.0,0.0,69.0,3.8,no,yes,62.0,60.0,notplaced
2992.0,7.6,1.0,2.0,1.0,75.0,4.3,yes,yes,80.0,67.0,placed
1673.0,6.6,0.0,1.0,1.0,71.0,3.5,no,no,55.0,60.0,notplaced
-5177.0,-7.7,-1.0,-2.0,-1.0,-80.0,-4.4,no,yes,-71.0,-73.0,placed
3031.0,7.8,1.0,1.0,0.0,74.0,3.8,no,no,61.0,68.0,notplaced
6967.0,6.8,1.0,2.0,0.0,75.0,4.3,yes,yes,73.0,73.0,notplaced
6951.0,7.5,1.0,1.0,1.0,67.0,3.8,no,no,59.0,63.0,notplaced
2048.0,7.6,0.0,1.0,0.0,61.0,3.8,no,yes,55.0,61.0,notplaced
2393.0,7.8,1.0,1.0,0.0,63.0,4.4,no,yes,55.0,68.0,notplaced
5627.0,7.7,1.0,1.0,0.0,72.0,4.4,no,no,72.0,69.0,notplaced
8824.0,8.2,2.0,3.0,2.0,82.0,4.4,yes,yes,80.0,83.0,placed
17.0,8.6,0.0,3.0,0.0,84.0,4.8,yes,yes,62.0,78.0,placed
3760.0,8.2,2.0,3.0,2.0,90.0,4.8,yes,yes,70.0,85.0,placed
7043.0,7.4,1.0,3.0,0.0,83.0,4.7,no,yes,55.0,69.0,notplaced
1210.0,8.3,2.0,3.0,0.0,89.0,4.6,yes,yes,86.0,83.0,placed
3219.0,6.7,1.0,1.0,1.0,67.0,4.7,no,yes,81.0,64.0,placed
512.0,8.3,2.0,3.0,2.0,89.0,4.7,yes,yes,80.0,88.0,placed
3819.0,6.7,1.0,1.0,0.0,71.0,3.9,no,no,65.0,62.0,notplaced
5776.0,7.5,1.0,1.0,0.0,72.0,4.4,yes,yes,55.0,61.0,placed
8207.0,8.4,2.0,3.0,0.0,90.0,4.8,yes,yes,80.0,86.0,placed
4168.0,7.7,2.0,2.0,0.0,79.0,4.2,yes,yes,58.0,73.0,placed
9858.0,7.8,2.0,3.0,2.0,87.0,4.5,yes,yes,75.0,86.0,notplaced
6756.0,8.2,2.0,3.0,2.0,90.0,4.8,yes,yes,84.0,88.0,placed
5695.0,7.0,1.0,1.0,0.0,72.0,4.5,no,yes,71.0,65.0,notplaced
3610.0,7.3,2.0,2.0,0.0,66.0,4.1,nan,nan,60.0,70.0,nan
7999.0,7.6,1.0,1.0,0.0,80.0,3.9,no,no,56.0,67.0,notplaced
1848.0,7.8,2.0,3.0,1.0,90.0,4.6,yes,no,87.0,84.0,placed
8899.0,8.6,1.0,2.0,2.0,64.0,4.0,no,no,59.0,70.0,notplaced
6649.0,6.7,1.0,1.0,0.0,78.0,3.7,no,yes,77.0,83.0,notplaced
3062.0,8.1,2.0,3.0,2.0,89.0,4.8,yes,yes,88.0,67.0,notplaced
6849.0,7.6,1.0,2.0,1.0,80.0,4.8,no,yes,82.0,65.0,notplaced
1835.0,7.9,1.0,2.0,0.0,73.0,4.3,no,yes,58.0,65.0,notplaced
1658.0,8.1,2.0,3.0,1.0,75.0,4.8,yes,yes,59.0,72.0,notplaced
