StudentID,CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,PlacementStatus
50025.0,77.0,10.0,20.0,10.0,800.0,44.0,Yes,Yes,700.0,730.0,Placed
8200.0,7.6,1.0,1.0,1.0,71.0,4.2,No,No,64.0,71.0,NotPlaced
1596.0,7.4,2.0,3.0,3.0,86.0,4.2,Yes,Yes,60.0,75.0,NotPlaced
7206.0,7.4,1.0,3.0,2.0,74.0,4.1,Yes,Yes,79.0,81.0,Placed
9889.0,7.8,1.0,2.0,0.0,73.0,3.5,No,Yes,63.0,67.0,NotPlaced
5324.0,8.7,1.0,3.0,3.0,89.0,4.8,Yes,Yes,74.0,83.0,NotPlaced
9517.0,8.1,2.0,3.0,1.0,85.0,4.8,Yes,Yes,71.0,85.0,Placed
7850.0,8.0,1.0,3.0,0.0,82.0,3.8,,,55.0,66.0,
4659.0,8.3,1.0,3.0,2.0,90.0,4.8,Yes,Yes,83.0,88.0,Placed
8934.0,7.2,1.0,1.0,0.0,73.0,3.8,No,No,59.0,65.0,NotPlaced
1572.0,8.9,2.0,3.0,2.0,90.0,4.8,YES ,YES ,72.0,86.0,PLACED 
4822.0,8.4,2.0,3.0,2.0,90.0,4.6,Yes,Yes,69.0,82.0,Placed
6808.0,7.7,1.0,1.0,1.0,74.0,4.5,Yes,Yes,72.0,88.0,Placed
,,,,,,,Yes,Yes,,,Placed
2065.0,7.5,2.0,2.0,1.0,75.0,4.2,Yes,Yes,65.0,86.0,NotPlaced
3692.0,8.6,2.0,3.0,2.0,84.0,4.8,Yes,Yes,72.0,86.0,Placed
489.0,6.6,1.0,3.0,0.0,70.0,4.1,Yes,No,78.0,63.0,Placed
7137.0,8.8,2.0,2.0,0.0,83.0,4.4,Yes,Yes,68.0,84.0,NotPlaced
5025.0,6.6,1.0,1.0,1.0,77.0,4.0,No,No,57.0,66.0,NotPlaced
9512.0,8.2,1.0,3.0,1.0,83.0,4.8,YES ,YES ,80.0,74.0,PLACED 
3313.0,8.5,1.0,3.0,2.0,90.0,4.3,YES ,YES ,72.0,87.0,PLACED 
6599.0,7.9,1.0,1.0,0.0,81.0,4.2,No,Yes,72.0,69.0,NotPlaced
8401.0,8.2,1.0,3.0,0.0,82.0,4.7,Yes,Yes,78.0,85.0,Placed
946.0,7.7,0.0,1.0,0.0,67.0,3.5,No,No,55.0,61.0,NotPlaced
3018.0,8.1,2.0,2.0,2.0,90.0,4.6,,,88.0,79.0,
771.0,7.6,2.0,3.0,2.0,84.0,4.6,Yes,Yes,72.0,85.0,Placed
5528.0,7.7,1.0,1.0,0.0,78.0,4.4,NO ,YES ,82.0,81.0,NOTPLACED 
6699.0,8.2,2.0,3.0,2.0,90.0,4.7,Yes,Yes,78.0,84.0,Placed
7675.0,7.7,1.0,3.0,2.0,88.0,4.5,Yes,Yes,79.0,70.0,NotPlaced
1067.0,6.5,0.0,1.0,1.0,82.0,4.5,No,No,55.0,71.0,NotPlaced
7989.0,8.7,2.0,2.0,2.0,90.0,4.8,Yes,Yes,74.0,84.0,Placed
6418.0,8.3,1.0,3.0,1.0,88.0,4.8,Yes,Yes,79.0,86.0,Placed
1633.0,6.5,1.0,2.0,0.0,82.0,4.1,Yes,Yes,70.0,66.0,NotPlaced
276.0,6.5,2.0,2.0,2.0,79.0,4.5,,,83.0,87.0,
10.0,7.8,1.0,3.0,2.0,79.0,4.4,Yes,Yes,85.0,86.0,Placed
8768.0,6.5,0.0,3.0,0.0,77.0,4.2,,,78.0,61.0,
452.0,8.6,0.0,2.0,1.0,90.0,4.6,Yes,Yes,56.0,87.0,Placed
2848.0,8.4,1.0,3.0,0.0,81.0,4.8,Yes,Yes,85.0,88.0,Placed
,,,,,,,Yes,No,,,Placed
5981.0,6.5,1.0,1.0,1.0,72.0,4.2,No,No,55.0,57.0,NotPlaced
4163.0,6.7,1.0,2.0,0.0,68.0,4.6,No,Yes,55.0,77.0,NotPlaced
4855.0,7.4,1.0,1.0,1.0,80.0,3.6,,,78.0,74.0,
144.0,7.8,2.0,3.0,0.0,77.0,4.8,Yes,Yes,79.0,87.0,NotPlaced
7396.0,7.1,1.0,3.0,1.0,77.0,4.2,Yes,Yes,62.0,60.0,NotPlaced
7996.0,6.5,0.0,1.0,0.0,80.0,3.9,No,Yes,75.0,69.0,NotPlaced
2207.0,8.0,2.0,3.0,3.0,90.0,4.6,YES ,YES ,84.0,81.0,PLACED 
3027.0,6.5,0.0,1.0,0.0,80.0,4.3,No,No,61.0,60.0,NotPlaced
5123.0,7.8,0.0,2.0,0.0,79.0,4.5,Yes,No,80.0,81.0,NotPlaced
9734.0,7.0,1.0,1.0,1.0,72.0,3.8,No,No,55.0,68.0,NotPlaced
5451.0,8.7,1.0,2.0,0.0,80.0,4.5,Yes,Yes,55.0,64.0,Placed
,,,,,,,No,No,,,NotPlaced
1803.0,8.7,2.0,3.0,2.0,88.0,4.8,Yes,Yes,79.0,83.0,NotPlaced
4245.0,8.4,2.0,3.0,2.0,90.0,4.8,Yes,Yes,74.0,85.0,Placed
6187.0,8.3,1.0,2.0,1.0,72.0,4.7,No,Yes,55.0,71.0,NotPlaced
2567.0,7.5,1.0,1.0,0.0,68.0,4.8,No,Yes,63.0,69.0,NotPlaced
1575.0,7.5,2.0,3.0,2.0,79.0,4.1,Yes,Yes,75.0,70.0,Placed
1103.0,8.1,0.0,2.0,3.0,71.0,4.2,Yes,No,82.0,74.0,NotPlaced
4042.0,7.9,2.0,1.0,0.0,71.0,4.7,No,Yes,77.0,86.0,NotPlaced
9252.0,6.5,1.0,2.0,1.0,79.0,4.2,Yes,Yes,81.0,64.0,Placed
1910.0,6.5,1.0,2.0,1.0,76.0,4.4,Yes,Yes,71.0,73.0,Placed
6759.0,7.8,0.0,3.0,1.0,90.0,4.7,No,No,75.0,74.0,Placed
2530.0,8.3,0.0,3.0,0.0,90.0,4.8,,,74.0,85.0,
6640.0,7.5,1.0,2.0,0.0,65.0,4.4,No,No,55.0,62.0,NotPlaced
9654.0,8.5,1.0,0.0,2.0,70.0,4.2,YES ,NO ,63.0,67.0,NOTPLACED 
5762.0,8.2,1.0,2.0,0.0,67.0,4.1,No,Yes,56.0,78.0,NotPlaced
2725.0,7.4,1.0,1.0,2.0,84.0,4.7,Yes,Yes,80.0,75.0,Placed
457.0,7.4,1.0,3.0,0.0,76.0,4.4,Yes,Yes,58.0,71.0,NotPlaced
5745.0,8.4,2.0,3.0,2.0,90.0,4.8,Yes,Yes,85.0,88.0,Placed
7473.0,6.5,2.0,1.0,0.0,78.0,4.4,No,Yes,75.0,65.0,NotPlaced
2897.0,7.5,0.0,1.0,0.0,72.0,4.1,No,No,55.0,69.0,NotPlaced
8450.0,8.4,2.0,3.0,3.0,89.0,4.6,Yes,Yes,77.0,85.0,Placed
5725.0,8.6,2.0,3.0,2.0,90.0,4.8,Yes,Yes,85.0,82.0,Placed
9738.0,7.0,0.0,2.0,1.0,64.0,4.1,Yes,Yes,77.0,65.0,Placed
3764.0,7.7,2.0,2.0,0.0,80.0,4.0,No,No,55.0,65.0,NotPlaced
,,,,,,,No,No,,,Placed
6724.0,7.3,1.0,2.0,0.0,80.0,4.1,No,Yes,55.0,69.0,NotPlaced
1675.0,6.6,1.0,2.0,1.0,70.0,4.6,Yes,Yes,76.0,84.0,NotPlaced
588.0,8.0,0.0,0.0,2.0,76.0,4.8,YES ,NO ,62.0,64.0,PLACED 
936.0,6.5,0.0,1.0,0.0,75.0,4.1,No,Yes,83.0,67.0,NotPlaced
2721.0,7.5,1.0,1.0,0.0,69.0,4.3,No,No,60.0,71.0,NotPlaced
1362.0,8.8,0.0,2.0,1.0,73.0,4.8,Yes,No,81.0,83.0,NotPlaced
2970.0,7.8,2.0,3.0,2.0,90.0,4.8,Yes,Yes,88.0,80.0,Placed
50025.0,77.0,10.0,20.0,10.0,800.0,44.0,No,Yes,700.0,730.0,NotPlaced
5522.0,8.2,0.0,1.0,0.0,88.0,4.0,,,76.0,60.0,
683.0,7.1,0.0,2.0,2.0,76.0,4.2,No,No,63.0,64.0,NotPlaced
1513.0,8.6,0.0,3.0,1.0,77.0,4.8,Yes,Yes,82.0,83.0,NotPlaced
1215.0,7.7,1.0,2.0,0.0,73.0,4.3,No,Yes,55.0,70.0,NotPlaced
3948.0,8.0,2.0,3.0,2.0,90.0,4.3,Yes,Yes,75.0,82.0,Placed
6132.0,8.7,1.0,3.0,1.0,90.0,4.0,Yes,Yes,81.0,80.0,Placed
434.0,8.1,2.0,3.0,2.0,85.0,4.5,Yes,Yes,76.0,88.0,Placed
800.0,8.3,2.0,3.0,2.0,90.0,4.8,Yes,Yes,77.0,85.0,Placed
6367.0,7.3,0.0,1.0,0.0,85.0,4.2,No,Yes,73.0,68.0,NotPlaced
7453.0,8.0,1.0,2.0,1.0,82.0,4.8,Yes,Yes,79.0,80.0,Placed
,,,,,,,,,,,
1984.0,8.3,1.0,1.0,0.0,81.0,4.7,No,No,75.0,69.0,NotPlaced
3855.0,8.4,1.0,2.0,0.0,90.0,4.7,Yes,Yes,55.0,81.0,NotPlaced
50025.0,77.0,10.0,20.0,10.0,800.0,44.0,No,No,700.0,730.0,NotPlaced
4146.0,7.6,1.0,3.0,1.0,77.0,4.6,Yes,Yes,73.0,79.0,NotPlaced
6453.0,6.5,0.0,1.0,1.0,80.0,3.7,No,Yes,67.0,68.0,Placed
1132.0,8.6,2.0,3.0,2.0,90.0,4.8,Yes,Yes,73.0,80.0,Placed
2396.0,7.0,0.0,3.0,1.0,67.0,3.6,Yes,Yes,57.0,82.0,NotPlaced
409.0,8.6,1.0,3.0,2.0,83.0,4.4,YES ,YES ,71.0,83.0,PLACED 
,,,,,,,No,Yes,,,NotPlaced
184.0,7.7,1.0,1.0,0.0,71.0,4.7,No,Yes,57.0,69.0,NotPlaced
9850.0,6.8,2.0,2.0,2.0,80.0,4.5,Yes,Yes,72.0,82.0,Placed
6748.0,7.8,1.0,3.0,2.0,77.0,4.7,Yes,Yes,83.0,77.0,Placed
,,,,,,,No,Yes,,,NotPlaced
6231.0,7.6,1.0,1.0,1.0,65.0,3.5,No,No,55.0,58.0,NotPlaced
9658.0,8.2,1.0,3.0,1.0,85.0,4.4,,,83.0,69.0,
3814.0,7.4,0.0,1.0,0.0,74.0,4.2,No,No,59.0,76.0,NotPlaced
1281.0,8.2,1.0,1.0,1.0,80.0,4.3,No,No,75.0,64.0,NotPlaced
3699.0,7.3,1.0,1.0,0.0,76.0,4.3,No,No,55.0,66.0,NotPlaced
1676.0,7.5,1.0,2.0,1.0,74.0,4.7,No,Yes,55.0,60.0,Placed
5911.0,6.7,1.0,1.0,1.0,66.0,3.5,Yes,No,86.0,69.0,NotPlaced
9579.0,8.6,1.0,3.0,2.0,88.0,4.8,Yes,Yes,70.0,83.0,Placed
7695.0,7.4,1.0,1.0,1.0,80.0,4.2,Yes,Yes,75.0,65.0,Placed
,,,,,,,Yes,No,,,Placed
5591.0,7.5,1.0,1.0,0.0,69.0,3.8,No,Yes,62.0,60.0,NotPlaced
50025.0,77.0,10.0,20.0,10.0,800.0,44.0,No,Yes,700.0,730.0,NotPlaced
2992.0,7.6,1.0,2.0,1.0,75.0,4.3,Yes,Yes,80.0,67.0,Placed
1673.0,6.6,0.0,1.0,1.0,71.0,3.5,No,No,55.0,60.0,NotPlaced
-5177.0,-7.7,-1.0,-2.0,-1.0,-80.0,-4.4,No,Yes,-71.0,-73.0,Placed
3031.0,7.8,1.0,1.0,0.0,74.0,3.8,No,No,61.0,68.0,NotPlaced
6967.0,6.8,1.0,2.0,0.0,75.0,4.3,Yes,Yes,73.0,73.0,NotPlaced
6951.0,7.5,1.0,1.0,1.0,67.0,3.8,No,No,59.0,63.0,NotPlaced
2048.0,7.6,0.0,1.0,0.0,61.0,3.8,No,Yes,55.0,61.0,NotPlaced
2393.0,7.8,1.0,1.0,0.0,63.0,4.4,No,Yes,55.0,68.0,NotPlaced
5627.0,7.7,1.0,1.0,0.0,72.0,4.4,No,No,72.0,69.0,NotPlaced
8824.0,8.2,2.0,3.0,2.0,82.0,4.4,Yes,Yes,80.0,83.0,Placed
17.0,8.6,0.0,3.0,0.0,84.0,4.8,Yes,Yes,62.0,78.0,Placed
3760.0,8.2,2.0,3.0,2.0,90.0,4.8,Yes,Yes,70.0,85.0,Placed
7043.0,7.4,1.0,3.0,0.0,83.0,4.7,No,Yes,55.0,69.0,NotPlaced
1210.0,8.3,2.0,3.0,0.0,89.0,4.6,Yes,Yes,86.0,83.0,Placed
3219.0,6.7,1.0,1.0,1.0,67.0,4.7,No,Yes,81.0,64.0,Placed
512.0,8.3,2.0,3.0,2.0,89.0,4.7,Yes,Yes,80.0,88.0,Placed
3819.0,6.7,1.0,1.0,0.0,71.0,3.9,No,No,65.0,62.0,NotPlaced
5776.0,7.5,1.0,1.0,0.0,72.0,4.4,Yes,Yes,55.0,61.0,Placed
8207.0,8.4,2.0,3.0,0.0,90.0,4.8,Yes,Yes,80.0,86.0,Placed
4168.0,7.7,2.0,2.0,0.0,79.0,4.2,Yes,Yes,58.0,73.0,Placed
9858.0,7.8,2.0,3.0,2.0,87.0,4.5,YES ,YES ,75.0,86.0,NOTPLACED 
6756.0,8.2,2.0,3.0,2.0,90.0,4.8,Yes,Yes,84.0,88.0,Placed
5695.0,7.0,1.0,1.0,0.0,72.0,4.5,No,Yes,71.0,65.0,NotPlaced
,,,,,,,No,Yes,,,NotPlaced
3610.0,7.3,2.0,2.0,0.0,66.0,4.1,,,60.0,70.0,
7999.0,7.6,1.0,1.0,0.0,80.0,3.9,No,No,56.0,67.0,NotPlaced
1848.0,7.8,2.0,3.0,1.0,90.0,4.6,Yes,No,87.0,84.0,Placed
