CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,actual,predicted,predicted_probability_placed,correct
7.6,1,1,0,76,4.0,0,1,75,70,1,0,0.20644900385953335,False
7.5,0,1,2,81,4.1,1,1,84,81,0,1,0.6283916689408776,False
8.5,1,3,1,77,4.7,1,1,65,85,0,1,0.7449850141418022,False
6.6,1,1,2,86,4.7,0,0,55,69,1,0,0.14207434005553882,False
8.5,1,3,0,75,4.8,1,1,78,64,0,1,0.6697030936411592,False
8.2,1,2,1,70,4.4,1,1,69,82,1,0,0.49551353249715274,False
6.8,0,1,0,82,4.0,0,1,65,63,1,0,0.16277874533803302,False
8.1,2,3,0,74,4.3,1,1,82,84,0,1,0.6771680896758921,False
7.7,0,1,0,81,4.3,1,1,76,71,0,1,0.5184978425700291,False
8.1,2,3,0,81,4.8,1,1,72,88,0,1,0.8043682348870023,False
7.6,1,3,0,80,4.6,0,1,60,73,1,0,0.40035244118333024,False
8.1,0,2,0,81,4.5,1,1,80,83,0,1,0.7424703830053868,False
7.8,1,2,0,82,3.9,1,1,86,66,0,1,0.5846937714176537,False
8.3,1,2,0,81,3.6,1,1,81,84,0,1,0.6442322082511817,False
8.1,1,1,0,79,4.4,1,1,73,88,0,1,0.6162750707274982,False
8.0,1,3,2,89,4.8,1,1,70,81,0,1,0.8760345471886773,False
7.7,2,3,2,90,4.8,1,1,84,88,0,1,0.919407101222667,False
8.1,0,3,2,84,4.8,1,1,74,86,0,1,0.8673258343451299,False
7.6,1,2,1,79,4.2,0,1,73,85,1,0,0.4296335240636934,False
8.4,2,1,0,84,4.4,1,1,83,58,0,1,0.6114326265475837,False
7.6,1,2,0,70,4.7,0,1,60,64,1,0,0.16828870667155946,False
8.8,2,3,0,86,4.5,1,1,70,83,0,1,0.8444108269323477,False
7.7,1,1,0,85,3.9,0,0,57,59,1,0,0.08778772827520963,False
8.0,0,3,0,88,4.4,1,1,78,83,0,1,0.8471908098461999,False
8.4,1,3,1,85,4.8,1,1,55,80,0,1,0.7856000085618892,False
7.8,2,3,2,87,4.8,1,0,90,83,0,1,0.8022194704435186,False
8.2,1,1,2,87,4.3,1,0,69,86,0,1,0.5490628229215322,False
8.1,2,2,0,72,4.2,0,1,55,68,1,0,0.16464183510384278,False
8.5,1,3,2,90,4.4,1,1,72,83,0,1,0.8884628015935501,False
8.4,1,2,2,72,4.6,1,1,70,67,0,1,0.5213569021449512,False
7.9,1,1,2,64,4.2,0,1,56,68,1,0,0.08759443584317396,False
8.0,2,3,0,85,4.8,1,0,86,87,0,1,0.7558125913483819,False
7.6,1,2,1,64,3.7,0,1,63,76,1,0,0.09959576181379852,False
8.4,1,1,2,83,4.5,1,1,68,83,0,1,0.7091403025631087,False
7.7,1,3,3,84,4.7,1,1,78,73,0,1,0.8193266331993978,False
8.2,2,2,0,89,4.6,1,1,75,69,0,1,0.7735252554393498,False
8.5,1,3,2,89,4.6,1,1,79,82,0,1,0.9079301193831398,False
7.4,0,2,1,77,4.8,1,1,66,68,0,1,0.5073792078788335,False
7.5,1,2,0,81,4.8,1,1,55,79,0,1,0.5574065045266612,False
7.4,1,2,2,83,4.4,1,1,56,64,1,0,0.4826160677377957,False
7.5,0,3,0,88,4.0,0,1,71,86,0,1,0.5994125451258635,False
7.6,2,2,0,74,4.0,0,1,62,83,1,0,0.2242540068320155,False
7.8,2,1,0,84,4.2,1,1,71,65,1,0,0.4866260409206058,False
7.5,1,2,1,74,4.7,0,1,55,60,1,0,0.18607663930094134,False
7.4,1,2,2,80,3.9,0,1,77,88,1,0,0.4498936761249057,False
8.3,2,3,2,84,4.0,1,1,78,86,0,1,0.8189178054148147,False
7.3,0,2,1,70,3.7,1,1,55,74,1,0,0.20260759819628302,False
8.5,0,3,0,83,4.8,1,1,78,86,0,1,0.8666210504084871,False
8.0,2,1,0,90,4.3,0,1,71,83,0,1,0.5591805656255384,False
8.4,2,2,2,87,4.7,1,1,56,85,0,1,0.7889889058638396,False
8.0,1,2,0,85,4.3,1,1,69,81,0,1,0.695386381755693,False
7.8,0,2,0,79,4.3,1,1,65,70,1,0,0.48561103691080404,False
6.8,1,2,0,80,4.5,1,1,56,67,1,0,0.35745386306966087,False
8.2,2,2,2,88,4.2,1,1,80,86,0,1,0.8393558629336724,False
7.8,0,3,0,69,4.2,1,1,73,71,1,0,0.41764668022418033,False
